id,position_x,position_y,iteration_number,time
23,3.9999999999999996,-2.0,3,3
23,3.999999999999999,-4.0,4,4
23,5.999999999999999,-4.0,5,5
24,0,0,0,0
24,2,0,1,1
24,2.0,2.0,2,2
24,2.0,4.0,3,3
24,0.0,4.0,4,4
25,0,0,0,0
25,2,0,1,1
25,4.0,0.0,2,2
25,6.0,0.0,3,3
25,6.0,-2.0,4,4
26,0,0,0,0
26,2,0,1,1
26,2.0,2.0,2,2
26,2.0,4.0,3,3
26,2.0,6.0,4,4
26,4.0,6.0,5,5
26,4.0,8.0,6,6
26,6.0,8.0,7,7
27,0,0,0,0
27,2,0,1,1
27,2.0,2.0,2,2
27,2.0,4.0,3,3
27,4.0,4.0,4,4
27,6.0,4.0,5,5
27,6.0,2.0,6,6
27,8.0,2.0,7,7
28,0,0,0,0
28,2,0,1,1
28,1.9999999999999996,-2.0,2,2
28,3.9999999999999996,-2.0,3,3
28,6.0,-2.0,4,4
28,8.0,-2.0,5,5
29,0,0,0,0
29,2,0,1,1
29,4.0,0.0,2,2
29,6.0,0.0,3,3
30,0,0,0,0
30,2,0,1,1
30,4.0,0.0,2,2
30,6.0,0.0,3,3
30,8.0,0.0,4,4
31,0,0,0,0
31,2,0,1,1
31,4.0,0.0,2,2
31,6.0,0.0,3,3
31,8.0,0.0,4,4
32,0,0,0,0
32,2,0,1,1
32,1.9999999999999996,-2.0,2,2
32,1.9999999999999991,-4.0,3,3
32,3.999999999999999,-4.0,4,4
32,5.999999999999999,-4.0,5,5
32,7.999999999999999,-4.0,6,6
33,0,0,0,0
33,2,0,1,1
33,2.0,2.0,2,2
33,4.0,2.0,3,3
33,3.9999999999999996,0.0,4,4
33,3.999999999999999,-2.0,5,5
33,1.9999999999999991,-1.9999999999999998,6,6
33,1.9999999999999993,2.220446049250313e-16,7,7
33,1.9999999999999996,2.0,8,8
33,-4.440892098500626e-16,2.0000000000000004,9,9
34,0,0,0,0
34,2,0,1,1
34,2.0,2.0,2,2
34,2.0,4.0,3,3
34,2.0,6.0,4,4
34,2.0,8.0,5,5
34,0.0,8.0,6,6
35,0,0,0,0
35,2,0,1,1
35,4.0,0.0,2,2
35,3.9999999999999996,-2.0,3,3
35,3.999999999999999,-4.0,4,4
35,3.9999999999999987,-6.0,5,5
35,3.9999999999999982,-8.0,6,6
35,3.999999999999998,-10.0,7,7
35,1.9999999999999978,-10.0,8,8
35,1.9999999999999973,-12.0,9,9
36,0,0,0,0
36,2,0,1,1
36,2.0,2.0,2,2
36,2.0,4.0,3,3
36,2.0,6.0,4,4
36,0.0,6.0,5,5
37,0,0,0,0
37,2,0,1,1
37,4.0,0.0,2,2
37,4.0,2.0,3,3
37,6.0,2.0,4,4
37,6.0,0.0,5,5
37,6.0,-2.0,6,6
37,6.0,-4.0,7,7
37,6.0,-6.0,8,8
37,4.0,-6.0,9,9
37,4.0,-4.0,10,10
37,4.0,-2.0,11,11
37,4.0,0.0,12,12
37,6.0,0.0,13,13
38,0,0,0,0
38,2,0,1,1
38,1.9999999999999996,-2.0,2,2
38,3.9999999999999996,-2.0,3,3
38,3.9999999999999996,0.0,4,4
38,3.9999999999999996,2.0,5,5
38,1.9999999999999996,2.0000000000000004,6,6
38,1.9999999999999998,4.0,7,7
38,4.0,4.0,8,8
38,6.0,4.0,9,9
38,6.0,6.0,10,10
38,6.0,8.0,11,11
38,6.0,10.0,12,12
38,6.0,12.0,13,13
38,6.0,14.0,14,14
