id,position_x,position_y,iteration_number
1,3.95137557561221,0.43833019848524746,1
1,3.3002392666978966,2.3293673496838814,2
1,3.3250223077939633,4.329213794007552,3
1,5.023703108320596,3.2735227701174194,4
1,6.732257971719187,4.313157455358838,5
1,7.127572652477439,2.3526151061153944,6
2,3.3398169175323416,-1.484887412396689,1
2,2.658729605001787,0.3955699981047842,2
2,3.965042251129714,1.9100161907990816,3
2,5.140047883696022,3.5284604324822633,4
2,5.955434048593625,5.354698478875334,5
2,5.820099990558883,7.350114398611329,6
2,7.771857338352573,7.786741533972086,7
3,3.4174186682001726,1.4110011761290808,1
3,3.873440694316103,-0.536315929967695,2
3,3.8106191761598462,1.4626971907637683,3
3,3.5967027277117647,3.4512242217802838,4
3,4.413044996799346,1.6254133609020442,5
3,6.388856599735287,1.9355238407373918,6
3,7.733848578991999,3.4157253728724966,7
4,1.1421297331937086,1.8066705857266017,1
4,2.4045646057806613,3.357882432147446,2
4,3.4803411571143563,1.6718501632983052,3
4,4.427902828302543,3.4331357390341233,4
4,6.169816138509544,4.415855444608243,5
4,6.929051405124165,6.266142398009965,6
4,6.798245146663879,4.2704245515327575,7
4,8.24297307078339,5.6534506630972965,8
5,3.999999512612148,-0.0013962632881751585,1
5,5.860706687172328,0.7319309559940985,2
5,6.781416148752381,-1.0435391472058877,3
5,5.938078254967226,0.7699605624455965,4
5,6.667831823642466,2.632072194170653,5
5,6.545734744572752,0.6358025973269188,6
5,6.3234906746157655,-1.3518109399003144,7
5,7.107522703484486,0.48810584563863957,8
6,1.0340464819032982,-1.7512663420726742,1
7,2.7281282920612826,-1.8627477527298,1
7,4.184870231826083,-0.4923817720770818,2
7,6.003197112815287,-1.3252607271912527,3
7,7.929146294103881,-0.7860763884964108,4
8,1.1696607192070219,1.8194880265536786,1
8,2.04671673773814,3.616923071376813,2
8,3.6653660319401427,2.442199928513202,3
8,4.453249851122045,0.6039292500027331,4
8,4.79401281651356,-1.3668271026237353,5
8,4.326782674781459,-3.311485425994965,6
8,6.302971674474346,-3.619181765740545,7
8,7.381983190815967,-5.30314558589885,8
9,3.660413848589892,-1.1149106921233216,1
9,2.7599052717731167,0.6708900535029718,2
10,2.274197569284908,-1.9811147601787857,1
10,3.572297192666703,-0.4596229370735667,2
10,3.630234017640939,-2.458783592026516,3
10,5.203888651440813,-3.693130015653281,4
10,4.414080232063383,-5.530574616363878,5
10,5.6797611839405855,-7.079139025116455,6
10,5.24858607865612,-9.032108054205992,7
10,4.381582457906169,-10.834413444978175,8
10,5.094080062150549,-12.703195712645016,9
10,5.873935437726925,-10.861504752362963,10
10,5.801694524558883,-8.862809865576926,11
10,7.193770769910346,-7.426800211316839,12
11,2.3661870155385385,1.9661910053835,1
11,4.352118031751612,2.2029989419965017,2
11,3.9444927843358424,4.161018772761562,3
11,5.686749022302181,5.143130376026374,4
11,6.434991161815836,6.997890118056599,5
12,3.3537519393653215,-1.4721941742394684,1
12,4.52196796008219,-3.095546055052881,2
12,5.957005411917584,-4.488624484944673,3
12,7.184473743581389,-6.067649973897424,4
13,2.515277502432539,-1.9324826248861553,1
13,4.431822898118219,-1.3607713810960598,2
13,4.930554948348927,0.5760472325259476,3
13,5.686882855540073,2.4275245067056392,4
13,7.140751514613354,3.800938472764111,5
14,2.6233432736958835,-1.9003797418248014,1
14,4.464216561667632,-1.118596179940769,2
14,5.6332824072662975,-2.741336161778487,3
14,6.24666681673266,-0.8377186670533514,4
15,2.2128752288537683,1.988638764818904,1
15,2.957555108516915,0.13244592008943412,2
15,4.956535061959501,0.06857772977002093,3
15,6.607156379345501,-1.0607801703621333,4
15,8.531497293357738,-1.6056765335896266,5
16,1.1057305172896656,-1.7889332274551197,1
16,2.8583438773773926,-0.8254258792516891,2
16,4.330538051616861,-2.1791778186170108,3
16,6.241610156219806,-2.7689264184529683,4
16,8.072654618848969,-3.5734611758594346,5
17,1.610161720556759,-1.9616386302988462,1
17,0.8422156443683494,-0.11495001982148012,2
17,2.7747881727104438,0.39999019291922744,3
17,2.1770396900176414,2.3085752058118816,4
17,3.6661289268561763,0.9734298037183007,5
17,4.653709133992864,-0.7657324470426385,6
17,6.466619640835175,0.07887130276004617,7
17,6.532929997612228,-1.920029129123468,8
17,5.983333213831867,-3.8430328668364977,9
17,6.953257739426694,-5.592103023991336,10
18,3.8077173233746233,-0.8556623626006274,1
18,4.851523687987557,-2.5616718213063905,2
18,4.764633648200893,-4.559783460075824,3
18,3.9073940806506364,-6.366753388941894,4
18,3.454771456878465,-8.314863437283515,5
18,4.991338504065512,-9.595082836253425,6
18,6.990394995339374,-9.656508764783931,7
18,7.253523713523939,-7.673893502644917,8
19,3.511249750928247,1.3100092329137651,1
19,5.509815509413729,1.2342800508942138,2
